ticker,market,sector,sub_sector,market_cap,is_etf
INDUSTOWER.BO,BSE,Others,Diversified,Small Cap,False
INDUSTOWER.NS,NSE,Others,Diversified,Mid Cap,False
INFIBEAM.BO,BSE,Others,Diversified,Small Cap,False
INFIBEAM.NS,NSE,Others,Diversified,Small Cap,False
INFOBEAN.BO,BSE,Others,Diversified,Small Cap,False
INFOBEAN.NS,NSE,Others,Diversified,Small Cap,False
INFOMEDIA.BO,BSE,Others,Diversified,Small Cap,False
INFOMEDIA.NS,NSE,Others,Diversified,Small Cap,False
INFRABEES.NS,NSE,ETF,Sector ETF,Large Cap,True
INFY.BO,BSE,Information Technology,Information Technology,Large Cap,False
INFY.NS,NSE,Information Technology,Information Technology,Large Cap,False
INGERRAND.BO,BSE,Others,Diversified,Small Cap,False
INGERRAND.NS,NSE,Others,Diversified,Small Cap,False
INNOVACAP.BO,BSE,Others,Diversified,Small Cap,False
INNOVACAP.NS,NSE,Others,Diversified,Small Cap,False
INNOVANA.BO,BSE,Others,Diversified,Small Cap,False
INNOVANA.NS,NSE,Others,Diversified,Small Cap,False
INOXGREEN.BO,BSE,Others,Diversified,Small Cap,False
INOXGREEN.NS,NSE,Others,Diversified,Small Cap,False
INOXINDIA.BO,BSE,Others,Diversified,Small Cap,False
INOXINDIA.NS,NSE,Others,Diversified,Small Cap,False
INOXWIND.BO,BSE,Power,Power,Small Cap,False
INOXWIND.NS,NSE,Power,Power,Small Cap,False
INSECTICID.BO,BSE,Others,Diversified,Small Cap,False
INSECTICID.NS,NSE,Others,Diversified,Small Cap,False
INSPIRISYS.BO,BSE,Others,Diversified,Small Cap,False
INSPIRISYS.NS,NSE,Others,Diversified,Small Cap,False
INTELLECT.BO,BSE,Information Technology,Information Technology,Small Cap,False
INTELLECT.NS,NSE,Information Technology,Information Technology,Small Cap,False
INTENTECH.BO,BSE,Others,Diversified,Small Cap,False
INTENTECH.NS,NSE,Others,Diversified,Small Cap,False
INTERARCH.BO,BSE,Others,Diversified,Small Cap,False
INTERARCH.NS,NSE,Others,Diversified,Small Cap,False
INTLCONV.BO,BSE,Others,Diversified,Small Cap,False
INTLCONV.NS,NSE,Others,Diversified,Small Cap,False
INVENTURE.BO,BSE,Others,Diversified,Small Cap,False
INVENTURE.NS,NSE,Others,Diversified,Small Cap,False
IOB.BO,BSE,Financial Services,Financial Services,Small Cap,False
IOB.NS,NSE,Financial Services,Financial Services,Small Cap,False
IOC.BO,BSE,Oil & Gas,Oil & Gas,Large Cap,False
