symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,reason,gross_pnl,charges,net_pnl,win
SBIN.NS,2025-10-27,2025-11-26,30,907.8569622192382,991.3856667787535,110,Target Hit,9188.157501546682,232.11720078601434,8956.040300760667,1
SBIN.NS,2025-12-08,2026-01-29,52,971.8208255615233,1073.8027671787536,102,Target Hit,10402.15804495749,231.7329845047812,10170.42506045271,1
MARUTI.NS,2025-08-12,2025-08-18,6,12632.619999999999,13936.019382985485,7,Target Hit,9123.795680898404,206.56305839894176,8917.232622499461,1
MARUTI.NS,2025-10-07,2026-01-07,92,16030.013999999997,16792.191,6,Time Stop (63 days),4573.062000000009,219.10956520050001,4353.952434799509,1
MARUTI.NS,2026-01-08,2026-02-26,49,16824.807999999997,15197.787,5,End of Backtest,-8135.104999999985,179.03202656624998,-8314.137026566235,0
HCLTECH.NS,2025-11-24,2026-02-23,91,1604.2925359997485,1424.7737512207032,62,Time Stop (63 days),-11130.164656300807,210.1120434133974,-11340.276699714204,0
SUNPHARMA.NS,2025-05-07,2025-08-04,89,1802.0415175698847,1629.374243774414,55,Time Stop (63 days),-9496.700058750888,211.02115095537735,-9707.721209706266,0
SUNPHARMA.NS,2025-12-18,2026-02-26,70,1775.2533111716882,1783.9142512207031,56,End of Backtest,485.01264274483583,222.06849294830394,262.94414979653186,1
TITAN.NS,2025-06-23,2025-09-22,91,3473.227664973712,3454.0425,28,Time Stop (63 days),-537.1846192639314,216.18358707992155,-753.368206343853,0
TITAN.NS,2025-10-29,2026-01-06,69,3737.9341511230464,4091.2504497429845,26,Target Hit,9186.223764118393,226.14678157704273,8960.07698254135,1
TITAN.NS,2026-01-12,2026-02-26,45,4209.205,4338.257497558594,23,End of Backtest,2968.207443847663,218.8492756272631,2749.3581682204,1
M&M.NS,2025-07-29,2025-09-09,42,3206.2029999999995,3584.632436430823,31,Target Hit,11731.312529355528,233.70854308648566,11497.603986269041,1
M&M.NS,2025-09-16,2026-01-30,136,3548.5449999999996,3428.3682487792967,28,Time Stop (93 days),-3364.9490341796827,217.9446229833253,-3582.893657163008,0
BEL.NS,2025-04-02,2025-05-14,42,289.51823838334167,338.14306651558655,345,Target Hit,16775.565705624485,240.0466919864498,16535.519013638037,1
BEL.NS,2025-07-11,2025-10-13,94,410.45878739260877,408.9905939025879,243,Time Stop (63 days),-356.77101807507734,221.92303841160708,-578.6940564866844,0
BEL.NS,2025-11-04,2026-02-26,114,420.41999999999996,448.60093780517576,237,End of Backtest,6678.882259826665,229.0083390747508,6449.873920751915,1
HAL.NS,2025-04-02,2025-05-16,44,4194.148458167162,5096.056657278803,23,Target Hit,20743.88857956774,236.55262997566828,20507.335949592074,1
HAL.NS,2025-05-22,2025-08-20,90,4948.184784854854,4412.287397460937,20,Time Stop (63 days),-10717.947747878334,209.42068960836292,-10927.368437486697,0
HAL.NS,2025-09-26,2025-12-30,95,4780.100296802949,4285.568540039062,20,Time Stop (63 days),-9890.635135277735,202.78835900184376,-10093.42349427958,0
INDIGO.NS,2025-03-03,2025-03-20,17,4475.86532204295,5108.6893728628365,22,Target Hit,13922.129118037512,233.927907850049,13688.201210187462,1
INDIGO.NS,2025-03-25,2025-04-22,28,5007.548514447047,5546.440871239456,19,Target Hit,10238.954779055777,222.68800175842614,10016.266777297351,1
INDIGO.NS,2025-04-28,2025-07-01,64,5250.381170587421,5984.507470616458,19,Target Hit,13948.399700551692,236.82623501164394,13711.573465540048,1
INDIGO.NS,2025-07-30,2025-10-31,93,5796.005399199695,5619.375,17,Time Stop (63 days),-3002.71678639481,216.47759927239866,-3219.1943856672083,0
TVSMOTOR.NS,2025-04-30,2025-08-18,110,2705.6028022460932,3049.8549219822,36,Target Hit,12393.076310499837,229.95991461648924,12163.116395883348,1
TVSMOTOR.NS,2025-09-17,2026-02-25,161,3508.4048022460934,3913.590080687801,28,Target Hit,11345.18779636782,230.72871085359918,11114.459085514221,1
BHEL.NS,2025-12-17,2026-02-26,71,278.77849999999995,264.5851560974121,358,End of Backtest,-5081.217117126453,217.14912116541458,-5298.366238291867,0
JINDALSTEL.NS,2025-07-09,2025-10-29,112,946.0701637751949,1087.8134433587236,105,Target Hit,14883.044356270508,236.86188242229636,14646.182473848212,1
JINDALSTEL.NS,2025-11-06,2026-02-05,91,1081.7806511230467,1176.822,92,Time Stop (63 days),8743.804096679693,230.896610206414,8512.90748647328,1
PNB.NS,2025-07-30,2026-01-16,170,109.65955305480956,129.6227407748925,911,Target Hit,18186.464012995548,241.54890338066136,17944.915109614885,1
PNB.NS,2026-01-20,2026-02-26,37,128.02790152740477,130.34951573181152,781,End of Backtest,1813.180693641677,224.73177676268966,1588.4489168789873,1
VEDL.NS,2025-09-19,2025-10-29,40,458.45799999999997,520.24438226673,218,Target Hit,13469.431334147142,236.74429857994585,13232.687035567196,1
VEDL.NS,2025-11-03,2025-12-16,43,502.50199999999995,562.0047142768095,199,Target Hit,11841.040141085105,235.17230034323677,11605.867840741868,1
VEDL.NS,2026-01-21,2026-01-29,8,672.4717877807617,761.4872827097196,148,Target Hit,13174.293249485767,235.5059069560466,12938.78734252972,1
VEDL.NS,2026-02-04,2026-02-26,22,680.68,736.7125621948243,146,End of Backtest,8180.754080444351,229.9892680895098,7950.764812354841,1
GAIL.NS,2025-04-29,2025-07-28,90,182.7752513697796,173.99130084228514,547,Time Stop (63 days),-4804.820938539467,217.8272172496508,-5022.6481557891175,0
GAIL.NS,2025-11-13,2026-02-26,105,177.11185375086228,169.79004670715332,564,End of Backtest,-4129.499172651852,218.33526732326862,-4347.83443997512,0
TORNTPHARM.NS,2025-05-15,2025-07-29,75,3220.006382247948,3621.7469107451057,31,Target Hit,12453.956383411893,235.4132945146952,12218.543088897197,1
TORNTPHARM.NS,2025-08-04,2025-11-06,94,3637.020060503114,3525.6717268066404,27,Time Stop (63 days),-3006.405009804789,215.73261139182827,-3222.1376211966176,0
TORNTPHARM.NS,2025-11-14,2026-02-13,91,3806.230174661818,4046.178287109375,26,Time Stop (63 days),6238.65092363648,227.04071678447025,6011.6102068520095,1
TORNTPHARM.NS,2026-02-20,2026-02-26,6,4228.3241977539055,4395.400004882813,23,End of Backtest,3842.74356396487,220.73827673249187,3622.005287232378,1
PIDILITIND.NS,2025-04-28,2025-07-25,88,1487.0406327862047,1443.355248779297,67,Time Stop (63 days),-2926.9207284628174,219.00712464634333,-3145.927853109161,0
PIDILITIND.NS,2025-08-06,2025-11-10,96,1514.513,1455.1433756103515,66,Time Stop (63 days),-3918.395209716793,218.70349406338082,-4137.098703780174,0
BANKBARODA.NS,2025-06-27,2025-10-27,122,239.23899999999998,276.5253585790232,417,Target Hit,15548.411527452681,238.50128854915795,15309.910238903523,1
BANKBARODA.NS,2025-11-07,2026-02-06,91,284.284,288.91081219482425,351,Time Stop (63 days),1624.0110803833131,224.07581244719637,1399.9352679361168,1
BANKBARODA.NS,2026-02-18,2026-02-26,8,303.55325,324.1255621948242,329,End of Backtest,6768.290712097173,229.6127061540932,6538.67800594308,1
PFC.NS,2025-10-06,2026-01-06,92,402.6405348521781,372.20265060424805,248,Time Stop (63 days),-7548.595293486658,214.7008775679269,-7763.296171054585,0
PFC.NS,2026-02-10,2026-02-26,16,412.3489454779189,420.1794060974121,242,End of Backtest,1894.9714699173496,224.36804553562493,1670.6034243817246,1
CUMMINSIND.NS,2025-08-13,2025-10-27,75,3752.602069905093,4221.851365180079,26,Target Hit,12200.48167714963,230.12960069427993,11970.35207645535,1
CUMMINSIND.NS,2025-11-07,2026-02-06,91,4384.363314054021,4344.277350585938,22,Time Stop (63 days),-881.8911962978418,214.0548777818362,-1095.946074079678,0
AMBUJACEM.NS,2025-05-28,2025-10-09,134,561.2083072655056,565.3341243896484,178,Time Stop (93 days),734.3954480974232,223.3994557926486,510.99599230477463,1
